date	@avg := avg(stringency_index)	@stddv := stddev(stringency_index)
2020-10-27	42.57777272727269	25.87777798953418
2020-10-28	42.24895927601808	25.844809316382126
2020-10-29	42.236470588235264	25.756962582569866
2020-10-30	42.27837104072396	25.878451457441948
2020-10-31	42.24909502262442	25.829426869245196
2020-11-01	42.03126696832578	25.785144153723007
2020-11-02	42.33714932126696	25.84063122662395
2020-11-03	42.3580995475113	25.8873748122289
2020-11-04	42.49628959276016	25.889174658791667
2020-11-05	42.55285067873301	25.904326645030824
2020-11-06	42.62416289592758	25.93646703074289
2020-11-07	42.7330769230769	26.025916834832742
2020-11-08	42.73307692307691	26.01295784898185
2020-11-09	42.875520361990944	26.015403309282142
2020-11-10	42.707162162162156	25.992007513066184
2020-11-11	42.717567567567556	25.990614997670722
2020-11-12	43.02626126126125	26.180376496515663
2020-11-13	43.05126126126125	26.186783153391204
2020-11-14	43.19103603603602	26.33187311452458
2020-11-15	43.3057207207207	26.380157984579483
2020-11-16	43.42666666666665	26.464024052835743
2020-11-17	43.485135135135124	26.474310388890657
2020-11-18	43.28385650224214	26.56889770084007
2020-11-19	43.321255605381154	26.58726695887972
2020-11-20	43.44578475336323	26.706933014124502
2020-11-21	43.51228699551569	26.72794150512699
2020-11-22	43.53309417040359	26.73796496083307
2020-11-23	43.553856502242155	26.737435160071907
2020-11-24	43.28394618834079	26.974335745517493
2020-11-25	43.466636771300436	26.8782277383918
2020-11-26	43.487399103139	26.889994029109772
2020-11-27	43.60367713004483	26.952144184921778
2020-11-28	43.769775784753364	27.073123343512588
2020-11-29	43.71995515695066	27.07411322138634
2020-11-30	43.869417040358734	27.11248201153994
2020-12-01	43.62452914798206	27.03529733345545
2020-12-02	43.69094170403587	26.954803951501237
2020-12-03	43.765695067264566	26.97270863417255
2020-12-04	43.84457399103139	26.99302673067787
2020-12-05	43.84874439461883	26.981565443090545
2020-12-06	43.84874439461883	26.981565443090545
2020-12-07	43.886143497757836	26.89883189517157
2020-12-08	43.9214798206278	26.880983577227777
2020-12-09	43.87991031390135	26.83598290481071
2020-12-10	43.89233183856502	26.82997276384598
2020-12-11	43.93174887892377	26.868493344614325
2020-12-12	43.97946188340808	26.851596585162568
2020-12-13	44.025156950672645	26.884776442209144
2020-12-14	44.11022421524662	26.9981788531135
2020-12-15	43.95677130044841	27.052592216445923
2020-12-16	44.11860986547083	27.15245013422806
