date	stringency_avg	stringency_stddv
2020-05-09	76.27530726256984	15.198914702892875
2020-05-10	76.36837988826817	15.2751990231377
2020-05-11	75.50692737430165	15.586778204772832
2020-05-12	75.34921787709494	15.571436550934932
2020-05-13	75.0978333333333	15.892424375399045
2020-05-14	74.48833333333329	16.44669414603839
2020-05-15	74.30566666666662	16.535416941959596
2020-05-16	74.15644444444439	16.571603343008924
2020-05-17	73.84527777777772	16.601389213307677
2020-05-18	72.92216666666661	16.60554011550897
2020-05-19	72.92216666666663	16.613850355618613
2020-05-20	72.69061111111105	16.591347181383732
2020-05-21	72.50549999999997	16.49913517177996
2020-05-22	72.37927777777774	16.494204437739654
2020-05-23	72.33305555555552	16.415451701140274
2020-05-24	72.30216666666664	16.39881134835354
2020-05-25	71.8418333333333	16.645719085131503
2020-05-26	71.54855555555551	16.62117515307314
2020-05-27	71.32222222222217	16.871664100087248
2020-05-28	71.2965555555555	16.77493750020556
2020-05-29	71.05466666666665	16.688966694595965
2020-05-30	70.80261111111109	16.731681670275467
2020-05-31	70.46305555555554	16.559992153018214
2020-06-01	68.48516666666667	17.69843145827712
2020-06-02	67.9938888888889	17.872568409246888
2020-06-03	67.91150000000002	17.91956433854722
2020-06-04	67.86000000000003	17.958627576862455
2020-06-05	67.39194444444448	17.83010154820033
2020-06-06	67.0267777777778	18.068737047900516
2020-06-07	66.80044444444447	17.97746307717966
2020-06-08	65.76644444444447	18.205611547060684
2020-06-09	65.53494444444446	18.23240654247944
2020-06-10	65.29322222222225	18.349270123406228
2020-06-11	64.9896666666667	18.251131042577427
2020-06-12	64.94583333333337	18.2621150921488
2020-06-13	65.01272222222225	18.30619870215659
2020-06-14	64.96127777777781	18.335233357014385
2020-06-15	63.96611111111112	18.706859300174983
2020-06-16	63.62144444444446	18.50803054298989
2020-06-17	63.42600000000001	18.612020954211285
2020-06-18	63.369444444444454	18.48661896622714
2020-06-19	63.13800000000002	18.565338653882222
2020-06-20	63.040277777777796	18.61541644356322
2020-06-21	62.77283333333334	18.772494277976666
2020-06-22	62.40516666666669	18.98389555722897
2020-06-23	62.33566666666669	18.988174305194395
